University of Texas at El Paso,31.7709368,-106.5046405
rice university,29.7173941,-95.40183119999999
University of Texas at San Antonio,29.5827351,-98.6189053
The University of Texas at Dallas,32.9857619,-96.7500993
The University of Texas at San Antonio,29.5827351,-98.6189053
Virginia Tech ,37.22838429999999,-80.42341669999999
University of Texas at San Antonio,29.5827351,-98.6189053
Texas A&M University,30.6090918,-96.3337124
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at Austin,30.2849185,-97.7340567
Lone Star College- University Park,29.9925293,-95.5809204
The University of Texas at San Antonio,29.5827351,-98.6189053
The University of Texas at El Paso,31.7709368,-106.5046405
The University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
The University of Texas at Dallas,32.9857619,-96.7500993
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Houston-Downtown,29.7665308,-95.3594258
UTSA,29.5827351,-98.6189053
Texas A&M University-San Antonio,30.6090918,-96.3337124
West Chester University,39.9521856,-75.5978255
St. Cloud State University,45.55118640000001,-94.1515137
Texas A&M University at San Antonio,30.6090918,-96.3337124
Cinco Ranch High School,29.7455154,-95.779619
Texas A&M University,30.6090918,-96.3337124
University of Texas @ San Antonio,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
dominican university of california,37.9797597,-122.5132315
UTSA,29.5827351,-98.6189053
Lone Star College,30.0050601,-95.3817213
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
Texas A&M - San Antonio,30.6090918,-96.3337124
University of Texas at San Antonio,29.5827351,-98.6189053
The University of Texas At San Antonio,29.5827351,-98.6189053
University of Texas Rio Grande Valley,26.3074672,-98.174185
Simon Fraser University,49.2780937,-122.9198833
Middle Tennessee State University,35.8486105,-86.3648813
Trinity University,29.4618396,-98.48331209999999
Texas State University,29.888411,-97.938351
University of Waterloo,43.4722854,-80.5448576
Georgia Gwinnett College,33.9799796,-84.00444089999999
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
Texas A&M University - San Antonio,30.6090918,-96.3337124
The University of Texas at Austin,30.2849185,-97.7340567
University of Texas at San Antonio,29.5827351,-98.6189053
Trinity University,29.4618396,-98.48331209999999
Texas A&M of San Antonio,30.6090918,-96.3337124
GGSIPU,28.5945644,77.0184304
UTSA,29.5827351,-98.6189053
University of Sidi Mohamed been Abdellah ,34.0338293,-4.9798763
UTSA,29.5827351,-98.6189053
University of North Texas,33.207488,-97.1525862
Texas A&M University - College Station,30.6090918,-96.3337124
University of Texas at San Antonio,29.5827351,-98.6189053
Cinco Ranch HighSchool,29.7455154,-95.779619
UTSA,29.5827351,-98.6189053
UT Austin,30.2849185,-97.7340567
UTSA,29.5827351,-98.6189053
Cinco ranch high school,29.7455154,-95.779619
The University of Texas at San Antonio,29.5827351,-98.6189053
Texas A&M University,30.6090918,-96.3337124
University of Texas at San Antonio,29.5827351,-98.6189053
Brown University,41.8267718,-71.4025482
The University of Texas at Austin,30.2849185,-97.7340567
The University of Texas at San Antonio,29.5827351,-98.6189053
Northwest Vista College,29.4716439,-98.705443
University of Edinburgh,55.9445158,-3.1892413
University of Texas at San Antonio,29.5827351,-98.6189053
University of Houston - Downtown,29.7665308,-95.3594258
University of Illinois at Urbana-Champaign,40.1019523,-88.2271615
University of Texas - Austin,30.2849185,-97.7340567
